Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Mohr_1_1_Ctrl Spectral Count	Mohr_1_2_Ctrl Spectral Count	Mohr_1_3_Ctrl Spectral Count	Mohr_2_1_CBN375 Spectral Count	Mohr_2_2_CBN375 Spectral Count	Mohr_2_3_CBN375 Spectral Count	Mohr_3_1_CBN550 Spectral Count	Mohr_3_2_CBN550 Spectral Count	Mohr_3_3_CBN550 Spectral Count	Mohr_4_1_CBN772 Spectral Count	Mohr_4_2_CBN772 Spectral Count	Mohr_4_3_CBN772 Spectral Count	Mohr_5_1_ASHRAE Spectral Count	Mohr_5_2_ASHRAE Spectral Count	Mohr_5_3_ASHRAE Spectral Count	Mohr_6_1_A2FINE Spectral Count	Mohr_6_2_A2FINE Spectral Count	Mohr_6_3_A2FINE Spectral Count	Mohr_1_1_Ctrl Intensity	Mohr_1_2_Ctrl Intensity	Mohr_1_3_Ctrl Intensity	Mohr_2_1_CBN375 Intensity	Mohr_2_2_CBN375 Intensity	Mohr_2_3_CBN375 Intensity	Mohr_3_1_CBN550 Intensity	Mohr_3_2_CBN550 Intensity	Mohr_3_3_CBN550 Intensity	Mohr_4_1_CBN772 Intensity	Mohr_4_2_CBN772 Intensity	Mohr_4_3_CBN772 Intensity	Mohr_5_1_ASHRAE Intensity	Mohr_5_2_ASHRAE Intensity	Mohr_5_3_ASHRAE Intensity	Mohr_6_1_A2FINE Intensity	Mohr_6_2_A2FINE Intensity	Mohr_6_3_A2FINE Intensity	Indistinguishable Proteins
sp|P05455|LA_HUMAN	P05455	LA_HUMAN	SSB	408	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Lupus La protein 	1.0000	0.9990	8	67	67	67	5	6	3	5	4	6	1	2	2	5	3	4	5	5	3	3	4	1	1444609	1048444	586398	2402275	1040652	703595	716526	554587	597146	1294292	1284638	870415	1731613	1318162	768366	696207	993824	273649		
sp|P05787|K2C8_HUMAN	P05787	K2C8_HUMAN	KRT8	483	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 8 	1.0000	0.9990	11	33	27	111	3	2	1	2	1	1	1	1	2	2	3	1	3	3	3	1	1	2	8958651	5781834	6590178	9743525	8623602	7006267	11028908	5867209	6903776	7196834	7542816	5222552	10083027	3945866	5449056	4384502	5386216	4381631		
sp|P05814|CASB_HUMAN	P05814	CASB_HUMAN	CSN2	226	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Beta-casein 	1.0000	0.9990	2	19	19	19	0	0	0	0	0	0	7	6	6	0	0	0	0	0	0	0	0	0	     0	     0	     0	     0	     0	     0	20179073	11617167	16800798	     0	     0	     0	     0	     0	     0	     0	     0	     0		
sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Gelsolin 	1.0000	0.9990	14	161	161	161	14	11	11	14	12	10	2	2	1	14	14	10	10	11	10	6	4	5	4608784	1818450	2620331	4046741	4006749	2652951	1666511	804203	378695	4154365	4462761	13148990	5409266	3888299	4210653	2437271	1587746	1662795		
sp|P06454|PTMA_HUMAN	P06454	PTMA_HUMAN	PTMA	111	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Prothymosin alpha 	1.0000	0.9990	4	52	52	52	3	3	4	3	3	3	3	2	5	3	3	3	3	2	4	1	2	2	7545262	4553972	5825760	10346457	8485158	4491041	7481386	3955949	4726742	10970898	9640248	6226423	7644692	4092102	5500939	10678246	7151246	5704396		
sp|P06576|ATPB_HUMAN	P06576	ATPB_HUMAN	ATP5F1B	529	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	ATP synthase subunit beta, mitochondrial 	1.0000	0.9990	8	48	48	48	3	4	5	3	2	2	0	0	0	4	4	3	6	5	7	0	0	0	1047909	933158	873210	1194325	381988	507827	     0	     0	     0	1587319	1259916	912501	1781165	1302665	1448204	     0	     0	     0		
sp|P06703|S10A6_HUMAN	P06703	S10A6_HUMAN	S100A6	90	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Protein S100-A6 	1.0000	0.9990	2	21	21	21	0	1	2	1	1	2	0	0	1	2	4	2	1	1	2	0	0	1	     0	532123	1232862	771958	430017	441930	     0	     0	3117350	785969	4680245	3021591	658448	217110	555832	     0	     0	1935438		
sp|P06733|ENOA_HUMAN	P06733	ENOA_HUMAN	ENO1	434	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Alpha-enolase 	1.0000	0.9990	20	643	425	643	46	46	47	46	52	47	7	10	10	47	43	50	46	52	48	17	15	14	18507742	18453485	17167575	51862495	28939228	17474350	43713608	23508070	25219001	32979588	38739852	27754840	38670044	25544221	28400550	27741675	19727844	16656778		
sp|P06737|PYGL_HUMAN	P06737	PYGL_HUMAN	PYGL	847	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Glycogen phosphorylase, liver form 	1.0000	0.9989	4	10	6	10	0	0	0	0	1	0	2	1	4	1	0	0	0	0	0	1	0	0	     0	     0	     0	     0	206631	     0	385939	145558	693458	689429	     0	     0	     0	     0	     0	306890	     0	     0		
sp|P06744|G6PI_HUMAN	P06744	G6PI_HUMAN	GPI	558	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Glucose-6-phosphate isomerase 	1.0000	0.9990	16	128	128	128	9	8	8	14	10	7	3	1	1	14	10	10	13	10	10	0	0	0	5752404	3253185	2380520	8039897	5876708	2627994	4304966	499046	763594	9671080	7305120	7630368	8256108	4994085	6168214	     0	     0	     0		
sp|P06748|NPM_HUMAN	P06748	NPM_HUMAN	NPM1	294	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Nucleophosmin 	1.0000	0.9990	10	179	168	179	13	12	12	11	10	11	7	5	5	12	12	12	14	10	10	7	6	10	14656368	10885839	13932383	10547557	19247828	8351612	11264991	6511496	9415435	11727198	11909077	11969799	22798647	9997342	11780411	5665536	4782605	5849999		
sp|P06753|TPM3_HUMAN	P06753	TPM3_HUMAN	TPM3	285	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Tropomyosin alpha-3 chain 	1.0000	0.9990	18	187	187	600	11	11	12	10	13	12	8	8	6	11	11	11	14	13	14	8	7	7	226564504	95370472	111569736	197381106	195587634	94320309	235641022	134662994	130491494	144392552	164261248	93499389	215276826	101210271	119415388	195565250	175614464	204063942		
sp|P07108|ACBP_HUMAN	P07108	ACBP_HUMAN	DBI	87	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Acyl-CoA-binding protein 	1.0000	0.9990	3	35	35	35	1	1	2	3	3	3	2	2	0	2	2	3	2	2	3	1	1	2	5254661	2848904	3646208	9578254	8486732	3792680	20783636	10015075	     0	7116426	7904140	5383479	7050496	3312397	3792100	8077744	5468688	10741705		
sp|P07195|LDHB_HUMAN	P07195	LDHB_HUMAN	LDHB	334	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	L-lactate dehydrogenase B chain 	1.0000	0.9990	14	154	154	171	12	11	11	12	11	9	3	3	3	11	12	11	11	11	10	3	4	6	5014421	2729179	3218628	8419218	7611456	3311009	6538977	4364603	4915516	10180764	11806476	5954896	8046390	3962872	5109899	3185118	2363826	2685205		
sp|P07197|NFM_HUMAN	P07197	NFM_HUMAN	NEFM	916	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Neurofilament medium polypeptide 	1.0000	0.9990	4	29	29	55	2	2	3	1	1	2	1	1	0	2	2	2	2	3	2	1	1	1	10703882	7025488	5913625	11638248	10730585	4907603	8630770	122744	4230466	9962077	11062336	5352454	12263390	6602948	7664659	12121918	9264374	13940896		
sp|P07237|PDIA1_HUMAN	P07237	PDIA1_HUMAN	P4HB	508	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Protein disulfide-isomerase 	1.0000	0.9990	28	454	454	454	29	29	29	33	30	32	7	8	9	35	39	30	32	34	37	14	12	15	13198911	9392935	10520452	16434314	13661850	12400510	27247490	9252771	10383992	18734584	15485435	15531440	18922231	15834194	21015440	12289006	10889300	13382217		
sp|P07311|ACYP1_HUMAN	P07311	ACYP1_HUMAN	ACYP1	99	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Acylphosphatase-1 	1.0000	0.9990	2	52	52	52	3	3	3	3	2	2	1	2	1	3	3	5	4	5	4	2	3	3	6832862	4061906	4665976	6634251	6166779	3944930	8337812	4739269	4147149	6422111	7806572	4632766	9328429	5424655	4881844	9236838	8107951	9743226		
sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Cathepsin D 	1.0000	0.9990	4	78	78	78	6	5	8	7	7	7	0	0	0	6	6	7	7	6	6	0	0	0	3755305	2637176	5574402	5416110	2840065	2732227	     0	     0	     0	6061277	6035176	4445593	6884850	3963054	4996444	     0	     0	     0		
sp|P07355|ANXA2_HUMAN	P07355	ANXA2_HUMAN	ANXA2	339	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Annexin A2 	1.0000	0.9990	18	170	64	170	8	7	11	11	11	8	7	7	6	13	10	14	15	11	11	6	7	7	1780256	2211802	1501619	6861734	3559883	2291459	5575160	7038904	2548225	4743883	4922296	3883053	5545503	3541767	3165269	4008871	3482216	5317467		
sp|P07384|CAN1_HUMAN	P07384	CAN1_HUMAN	CAPN1	714	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Calpain-1 catalytic subunit 	1.0000	0.9990	5	27	27	27	1	2	2	4	3	2	0	0	1	2	2	2	3	2	1	0	0	0	144255	166259	260157	1242145	957335	514841	     0	     0	941813	747750	1038003	520381	968142	318809	290604	     0	     0	     0		
sp|P07437|TBB5_HUMAN	P07437	TBB5_HUMAN	TUBB	444	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Tubulin beta chain 	1.0000	0.9990	15	148	26	148	13	11	11	11	8	9	2	0	2	16	14	11	11	12	12	1	2	2	2053961	1768318	2087219	2314613	2185763	1944358	2463338	     0	1738022	3660328	2929298	3179158	2734018	2604747	2503626	1250546	243861	513691		
sp|P07477|TRY1_HUMAN	P07477	TRY1_HUMAN	PRSS1	247	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Trypsin-1 	1.0000	0.9990	2	129	57	129	4	10	11	11	14	15	11	12	14	3	4	6	2	2	3	3	2	2	12727240	8063620	15222262	9917295	17646359	14656842	319624840	205051100	229857710	45524462	15958611	81703347	12876812	10225177	13217717	53336346	31949440	44912872		
sp|P07602|SAP_HUMAN	P07602	SAP_HUMAN	PSAP	524	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Prosaposin 	1.0000	0.9990	18	240	240	240	17	16	20	15	13	16	8	5	5	16	19	15	14	13	15	11	10	12	34418217	17276966	20731794	38011221	31299437	13265361	54956594	6670432	15589371	28548779	34998616	15911032	17494133	10874553	10784218	27557445	17848966	12106495		
sp|P07686|HEXB_HUMAN	P07686	HEXB_HUMAN	HEXB	556	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Beta-hexosaminidase subunit beta 	1.0000	0.9990	3	18	13	18	2	1	1	2	1	1	0	0	0	1	2	1	2	2	2	0	0	0	931157	243730	299035	1642617	450642	205086	     0	     0	     0	459608	899395	406708	1139880	861098	798997	     0	     0	     0		
sp|P07711|CATL1_HUMAN	P07711	CATL1_HUMAN	CTSL	333	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Cathepsin L1 	1.0000	0.9990	4	28	28	30	3	2	2	1	1	1	1	1	1	2	2	2	2	1	2	2	1	1	3937130	384074	1817301	454534	327582	606194	1222095	684032	694696	5817659	3797326	2244710	1723225	1386509	1698125	1783542	1156954	1057998		
sp|P07737|PROF1_HUMAN	P07737	PROF1_HUMAN	PFN1	140	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Profilin-1 	1.0000	0.9990	9	160	160	160	12	12	13	12	11	13	2	1	3	13	13	11	12	10	14	3	3	2	13281603	8043481	9282110	16347386	14326936	10322935	1391913	896066	1623432	19588100	19310524	13519285	19583590	13689106	14629672	2942625	2439259	1174122		
sp|P07858|CATB_HUMAN	P07858	CATB_HUMAN	CTSB	339	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Cathepsin B 	1.0000	0.9990	7	104	104	104	10	8	7	9	6	7	3	2	2	7	8	8	7	10	7	1	1	1	1701837	1279188	1288482	1996446	1520787	1189134	3642193	1539379	1137868	2373206	1830424	1593937	2007656	1759145	1411130	882540	476372	675239		
sp|P07900|HS90A_HUMAN	P07900	HS90A_HUMAN	HSP90AA1	732	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Heat shock protein HSP 90-alpha 	1.0000	0.9990	45	924	438	924	54	51	55	61	52	57	35	31	31	70	69	63	62	61	69	38	33	32	34739090	16775982	18427308	61079258	38050576	32250967	79789284	47042699	51030947	54146627	43055373	35544204	56917836	42014064	46237129	40426609	33421152	34405378		
sp|P07910|HNRPC_HUMAN	P07910	HNRPC_HUMAN	HNRNPC	306	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoproteins C1/C2 	1.0000	0.9990	4	41	24	41	3	4	3	4	3	4	1	1	1	3	3	3	3	2	3	0	0	0	2405791	2107667	1544104	2883423	2353401	2318397	949872	517296	423757	3224464	2069209	2806915	3940557	1864412	4273724	     0	     0	     0		
sp|P07942|LAMB1_HUMAN	P07942	LAMB1_HUMAN	LAMB1	1786	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Laminin subunit beta-1 	1.0000	0.9990	10	63	63	63	3	3	3	4	5	4	4	2	2	6	4	5	5	5	5	1	1	1	552298	277837	328943	1013618	810361	780750	2398058	709339	600222	1339839	1364107	1627187	741900	884819	1063011	356674	284703	399892		
sp|P07951|TPM2_HUMAN	P07951	TPM2_HUMAN	TPM2	284	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Tropomyosin beta chain 	1.0000	0.9990	20	298	96	761	19	20	21	19	19	18	8	7	12	18	20	19	21	20	23	10	11	13	230960072	108338642	124635080	202105236	213200188	109301754	250750588	143487053	130491494	169914554	170001806	108414532	234192136	124637614	135451210	212789582	185431738	238511188		
sp|P07954|FUMH_HUMAN	P07954	FUMH_HUMAN	FH	510	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Fumarate hydratase, mitochondrial 	1.0000	0.9990	4	16	16	16	2	2	2	1	0	0	1	2	1	1	1	1	2	0	0	0	0	0	381061	475248	567084	318894	     0	     0	244457	202984	242884	246397	     0	186760	595877	     0	     0	     0	     0	     0		
sp|P07996|TSP1_HUMAN	P07996	TSP1_HUMAN	THBS1	1170	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Thrombospondin-1 	1.0000	0.9990	42	470	441	470	33	29	27	35	32	29	15	11	13	33	38	31	33	32	32	16	16	15	6654718	4559246	5574320	13835271	9885030	7979636	12794294	8962452	10363507	12555419	12226904	11582682	12376351	11025851	13172538	7527142	5660130	6676370		
sp|P08195|4F2_HUMAN	P08195	4F2_HUMAN	SLC3A2	630	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	4F2 cell-surface antigen heavy chain 	1.0000	0.9990	9	52	52	52	3	3	3	3	4	4	1	0	1	5	6	5	5	2	5	1	0	1	934603	712308	725723	1580127	1134588	1191082	584710	     0	436364	1811492	1958730	1558100	1608920	1126390	1472477	127410	     0	127161		
sp|P08238|HS90B_HUMAN	P08238	HS90B_HUMAN	HSP90AB1	724	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Heat shock protein HSP 90-beta 	1.0000	0.9990	35	192	123	517	9	10	8	12	12	12	8	10	9	17	13	15	14	13	13	5	6	6	20237860	13651561	14269804	61079258	23042024	26071422	60289608	30726862	33077976	47654926	32950186	31107406	53634371	35248558	38544226	31127399	23571120	25569606		
sp|P08579|RU2B_HUMAN	P08579	RU2B_HUMAN	SNRPB2	225	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	U2 small nuclear ribonucleoprotein B'' 	1.0000	0.9990	2	5	5	6	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	738821	424964	525415	     0	     0	     0	     0	     0	     0	     0	292269	     0	     0	     0	     0	     0	3462688	     0		
sp|P08670|VIME_HUMAN	P08670	VIME_HUMAN	VIM	466	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Vimentin 	1.0000	0.9990	23	422	283	422	29	29	30	26	24	27	13	13	15	25	22	24	26	28	27	23	19	22	39487332	31100455	32456204	44434966	44181863	30979614	52059233	37989734	37075784	27175645	38049188	32814148	47438078	78210812	44333919	60465408	44702491	50789732		
sp|P08697|A2AP_HUMAN	P08697	A2AP_HUMAN	SERPINF2	491	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Alpha-2-antiplasmin 	1.0000	0.9990	2	18	18	18	1	1	1	1	2	2	0	0	0	1	1	1	1	1	1	1	1	2	303642	282276	353889	437836	1581998	1016174	     0	     0	     0	458600	433205	501606	689906	445429	462841	3691911	4442034	3893443		
sp|P08727|K1C19_HUMAN	P08727	K1C19_HUMAN	KRT19	400	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 19 	1.0000	0.9990	6	19	8	54	2	2	1	2	1	1	0	0	0	2	1	2	2	2	1	0	0	0	8713729	4065829	4824803	8308473	3594092	4607062	3778556	1990269	2043465	5347318	2542328	4546684	4624948	3277378	3634663	1550100	960036	2020568		
sp|P08729|K2C7_HUMAN	P08729	K2C7_HUMAN	KRT7	469	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 7 	1.0000	0.9990	8	19	18	70	0	0	1	1	1	1	2	1	4	1	0	1	1	3	2	0	0	0	7806424	5726124	6590178	9743525	7624172	7006267	13134268	4541228	5622843	5919929	7542816	4846698	10083027	3945866	5449056	2423388	3433086	1245538		
sp|P08758|ANXA5_HUMAN	P08758	ANXA5_HUMAN	ANXA5	320	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Annexin A5 	1.0000	0.9990	12	132	132	132	7	8	8	11	9	8	4	3	3	12	10	10	12	9	10	2	3	3	3042967	1637821	2039133	8796175	3792429	2279592	6394523	3994904	3912429	13035550	8888537	8248645	8786875	7166765	9947385	3961693	2779803	4608955		
sp|P08865|RSSA_HUMAN	P08865	RSSA_HUMAN	RPSA	295	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	40S ribosomal protein SA 	1.0000	0.9990	5	27	27	27	2	1	1	2	2	3	0	0	0	3	4	3	1	3	2	0	0	0	743929	314679	357979	1256985	1288489	798068	     0	     0	     0	2078114	2022217	1326482	770950	1884387	1250947	     0	     0	     0		
sp|P09012|SNRPA_HUMAN	P09012	SNRPA_HUMAN	SNRPA	282	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	U1 small nuclear ribonucleoprotein A 	1.0000	0.9990	3	22	21	22	2	2	1	1	1	1	0	0	0	2	2	3	3	1	2	0	1	0	458415	240274	288413	279568	600060	319312	     0	     0	     0	716492	642388	469961	733572	392263	606678	     0	3462688	     0		
sp|P09104|ENOG_HUMAN	P09104	ENOG_HUMAN	ENO2	434	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Gamma-enolase 	1.0000	0.9990	15	205	195	388	13	15	13	17	15	14	2	1	2	18	17	16	16	19	18	2	3	4	11642932	8735427	10581840	18243930	17388174	16146576	6933966	2240053	4084987	22337460	24686247	17710673	18092459	14080891	24050121	4538992	3895581	2693117		
sp|P09211|GSTP1_HUMAN	P09211	GSTP1_HUMAN	GSTP1	210	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Glutathione S-transferase P 	1.0000	0.9990	10	154	154	154	13	9	9	12	11	8	3	3	2	12	9	10	14	11	11	7	5	5	16071382	6922904	7817053	19008816	17442698	7484420	6499506	2610498	2443090	18533428	21503076	10285436	18881037	9497909	10468649	11948468	9872389	10300390		
sp|P09382|LEG1_HUMAN	P09382	LEG1_HUMAN	LGALS1	135	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Galectin-1 	1.0000	0.9990	5	83	83	83	7	6	7	4	6	4	1	1	1	6	7	5	6	6	6	3	3	4	11809691	10615227	9875475	13036931	12960548	10380262	5730398	3308919	3734659	14284899	16129856	10820548	17975184	10985458	15216064	6400474	5315357	6118412		
sp|P09417|DHPR_HUMAN	P09417	DHPR_HUMAN	QDPR	244	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Dihydropteridine reductase 	1.0000	0.9990	4	62	62	62	3	6	4	4	5	3	1	0	1	6	6	6	6	4	3	1	2	1	2277526	1442631	2232190	1925394	2429005	1784451	2810280	     0	950104	3377638	2885064	2259975	4102780	1674271	1738560	682907	1143641	571834		
sp|P09429|HMGB1_HUMAN	P09429	HMGB1_HUMAN	HMGB1	215	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	High mobility group protein B1 	1.0000	0.9990	12	130	66	130	15	13	12	12	9	9	0	1	3	9	9	8	9	10	10	0	1	0	10517992	6516264	7298915	8360377	6127106	3945310	     0	4039732	5909520	8729581	7784294	4757078	7607268	4087191	5614757	     0	1588747	     0		
sp|P09455|RET1_HUMAN	P09455	RET1_HUMAN	RBP1	135	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Retinol-binding protein 1 	1.0000	0.9990	4	30	30	30	2	1	1	3	3	1	1	2	2	3	2	2	0	2	2	2	1	0	1081081	219320	397192	1604605	1888035	405651	1018911	701166	751134	1886650	1479490	1067938	     0	1014014	913200	1823219	813466	     0		
sp|P09471|GNAO_HUMAN	P09471	GNAO_HUMAN	GNAO1	354	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Guanine nucleotide-binding protein G(o) subunit alpha 	1.0000	0.9990	3	25	20	25	2	1	1	3	1	1	0	0	0	2	3	1	2	2	3	3	0	0	730358	163309	197083	1333692	     0	165416	     0	     0	     0	802935	1221630	282688	1071620	620753	1179308	340579	     0	     0		
sp|P09486|SPRC_HUMAN	P09486	SPRC_HUMAN	SPARC	303	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	SPARC 	1.0000	0.9990	16	575	575	575	41	42	42	39	40	36	17	19	17	33	38	36	35	39	33	22	22	24	57525971	35444599	38661001	52492141	59693277	35152610	58891635	36030402	35020941	53535213	51368966	34836928	54617625	34339065	36792307	36408866	31657889	39695170		
sp|P09488|GSTM1_HUMAN	P09488	GSTM1_HUMAN	GSTM1	218	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Glutathione S-transferase Mu 1 	1.0000	0.9990	5	51	38	53	3	3	3	4	4	3	1	1	1	3	3	5	3	4	3	2	2	3	9184296	2563666	2939405	8347803	9363985	4171312	10890211	3617274	3341532	11358247	11838015	5830327	18622682	6342757	7728614	7401803	5987217	6154406		
sp|P09493|TPM1_HUMAN	P09493	TPM1_HUMAN	TPM1	284	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Tropomyosin alpha-1 chain 	1.0000	0.9990	19	211	170	626	16	18	19	15	16	10	6	9	5	11	16	13	14	14	13	6	4	6	207961636	112106544	125253690	197087962	196807856	106029419	235061672	139798175	121621509	158880374	169751124	103054947	203273082	122042851	133144108	207944016	173709578	234510376		
sp|P09622|DLDH_HUMAN	P09622	DLDH_HUMAN	DLD	509	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Dihydrolipoyl dehydrogenase, mitochondrial 	1.0000	0.9990	5	24	24	24	1	2	2	2	1	2	1	0	0	2	3	2	2	2	2	0	0	0	1545860	1126482	1201725	1674638	1604131	938145	3527615	     0	     0	2139487	3010725	1314242	1737518	1025494	1669349	     0	     0	     0		
sp|P09651|ROA1_HUMAN	P09651	ROA1_HUMAN	HNRNPA1	372	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein A1 	1.0000	0.9990	14	197	27	279	16	19	15	15	12	14	1	3	0	13	15	16	18	19	16	2	2	1	10371947	5720354	6570590	7953153	8014812	5616276	14627856	5996612	     0	10842285	11780890	5995345	10010045	8594875	8515086	4407587	3042562	2582704		
sp|P09936|UCHL1_HUMAN	P09936	UCHL1_HUMAN	UCHL1	223	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Ubiquitin carboxyl-terminal hydrolase isozyme L1 	1.0000	0.9990	10	189	189	189	16	15	19	8	9	12	1	1	3	12	13	14	21	18	21	2	2	2	38805835	16519812	18380498	37912617	33388258	14425358	623538	358391	14020860	33622348	34789892	19097995	55416758	19716366	22123385	2749098	2128914	1343156		
sp|P09960|LKHA4_HUMAN	P09960	LKHA4_HUMAN	LTA4H	611	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Leukotriene A-4 hydrolase 	1.0000	0.9990	3	14	14	14	0	0	1	2	2	1	0	0	0	2	1	2	1	0	2	0	0	0	     0	     0	183138	208665	407734	122057	     0	     0	     0	466634	280799	236205	277576	     0	21568131	     0	     0	     0		
sp|P09972|ALDOC_HUMAN	P09972	ALDOC_HUMAN	ALDOC	364	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase C 	1.0000	0.9990	14	165	165	255	15	11	14	12	11	12	2	1	2	12	13	12	13	13	14	4	2	2	13041221	6609530	7328331	17695307	14513018	5408746	10529172	4499540	6373998	22826149	20415129	10386873	21781198	11004342	12465045	8902595	4802014	5440773		
sp|P0C0L4|CO4A_HUMAN	P0C0L4	CO4A_HUMAN	C4A	1744	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Complement C4-A 	1.0000	0.9990	3	16	6	16	0	1	1	1	0	0	0	0	0	2	2	2	3	2	2	0	0	0	     0	193225	151384	355156	     0	     0	     0	     0	     0	714251	551634	600024	810019	388108	420085	     0	     0	     0		
sp|P0CG39|POTEJ_HUMAN	P0CG39	POTEJ_HUMAN	POTEJ	1038	Homo sapiens (Human) OX=9606	3:Protein inferred from homology	POTE ankyrin domain family member J 	1.0000	0.9990	5	16	14	79	1	1	1	1	3	3	0	0	0	1	1	1	1	1	1	0	0	0	6696327	3008340	6851381	11925759	10662836	7717868	     0	     0	9282559	16501687	14365466	12344706	13087105	7222899	12344062	4884962	2395339	6898122		
sp|P0CG47|UBB_HUMAN	P0CG47	UBB_HUMAN	UBB	229	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Polyubiquitin-B 	1.0000	0.9990	4	91	0	91	6	6	6	6	8	7	3	4	3	6	6	6	4	4	4	4	4	4	12248104	7504807	7283600	27775951	23207179	11279968	8806014	7219982	5292812	15072118	16565362	11874170	9589726	5926273	6678539	10537280	8656825	9967494	sp|P0CG48|UBC_HUMAN, sp|P62979|RS27A_HUMAN, sp|P62987|RL40_HUMAN	
sp|P0DMV8|HS71A_HUMAN	P0DMV8	HS71A_HUMAN	HSPA1A	641	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Heat shock 70 kDa protein 1A 	1.0000	0.9990	27	413	0	495	26	25	25	28	31	30	9	7	10	32	29	33	31	30	37	8	11	11	28023198	14428590	15643275	42868116	38479522	20419664	14912481	8060054	8216806	50265833	48420883	27966579	46856619	26499938	30965830	14551010	8990778	9835703	sp|P0DMV9|HS71B_HUMAN	
